STATE_NAME,ST_ABBREV,REGION,ACSTOTPOP,D_PNPL_2,B_PNPL_D2,P_PNPL_D2,D_PTSDF_2,B_PTSDF_D2,P_PTSDF_D2,D_PWDIS_2,B_PWDIS_D2,P_PWDIS_D2,DSLPM,B_DSLPM,P_DSLPM,PRE1960PCT,PNPL,B_PNPL,P_PNPL,PTSDF,B_PTSDF,P_PTSDF,PWDIS,B_PWDIS,P_PWDIS,MINORPCT,B_MINORPCT,P_MINORPCT,LOWINCPCT,B_LWINCPCT,P_LWINCPCT,T_PNPL,T_PNPL_D2,T_PTSDF,T_PTSDF_D2,T_PWDIS_D2,Shape_Length,Shape_Area
North Carolina,NC,4,1176,-2.563058651,5,45,-518.2989228,1,3,-0.001741341,3,25,0.652317669,7,60,0.245614035,0.017644361,2,18,3.568023453,11,96,1.20E-05,6,52,0.12414966,3,22,0.345315904,5,46,0.018 facilities/km distance (18%ile),45%ile,3.6 facilities/km distance (96%ile),3%ile,25%ile,14860.01412,6857715.26
North Carolina,NC,4,2647,-10.3750961,3,26,-1057.365951,1,0,0,8,70,0.514534399,5,49,0.150526316,0.015155533,2,13,1.54455868,9,86,0,4,39,0.023422743,1,4,0.175841584,2,18,0.015 facilities/km distance (13%ile),26%ile,1.5 facilities/km distance (86%ile),0%ile,70%ile,18685.36007,10270930.81
North Carolina,NC,4,1134,0.68884227,6,57,85.45561818,8,78,0,8,70,0.514534399,5,49,0.277777778,0.01825291,3,20,2.264398931,10,91,0,4,39,0.267195767,5,45,0.515873016,8,74,0.018 facilities/km distance (20%ile),57%ile,2.3 facilities/km distance (91%ile),78%ile,70%ile,7947.922485,2900680.737
North Carolina,NC,4,1072,-1.789466702,5,48,-233.2532387,1,8,0,8,70,0.514534399,5,49,0.337962963,0.018926257,3,21,2.466998043,10,92,0,4,39,0.167910448,3,29,0.372201493,6,50,0.019 facilities/km distance (21%ile),48%ile,2.5 facilities/km distance (92%ile),8%ile,70%ile,19110.81515,16542994.72
North Carolina,NC,4,1280,-3.103494726,5,43,-326.4093102,1,5,-0.015073551,3,21,0.356667485,4,30,0.232931727,0.020819535,3,25,2.189689618,10,90,0.00010112,7,60,0.04453125,1,7,0.4390625,7,62,0.021 facilities/km distance (25%ile),43%ile,2.2 facilities/km distance (90%ile),5%ile,21%ile,12479.96036,7094289.925
North Carolina,NC,4,2068,-4.157556693,4,39,-414.7240609,1,4,-0.069523284,2,17,0.356667485,4,30,0.119901112,0.017968128,2,19,1.792354392,9,88,0.000300466,7,67,0.078336557,2,14,0.414396887,6,58,0.018 facilities/km distance (19%ile),39%ile,1.8 facilities/km distance (88%ile),4%ile,17%ile,15752.88514,9634900.454
North Carolina,NC,4,1431,-6.448859757,4,33,-1137.55744,1,0,-0.006963061,3,22,0.356667485,4,30,0.166134185,0.019924613,3,23,3.514635542,11,96,2.15E-05,6,53,0.021663173,1,3,0.242487771,3,28,0.02 facilities/km distance (23%ile),33%ile,3.5 facilities/km distance (96%ile),0%ile,22%ile,14352.90138,7129167.65
North Carolina,NC,4,865,-2.199794914,5,46,-159.0340445,2,11,0,8,70,0.29156906,3,21,0.069977427,0.019146862,3,22,1.384221251,9,84,0,4,39,0.015028902,1,2,0.43583815,7,62,0.019 facilities/km distance (22%ile),46%ile,1.4 facilities/km distance (84%ile),11%ile,70%ile,12241.62781,8624757.473
North Carolina,NC,4,1527,-4.403268041,4,39,-553.6296925,1,2,-0.005749966,3,22,0.29156906,3,21,0.105670103,0.01901604,3,21,2.39091603,10,91,2.48E-05,6,54,0.036018337,1,6,0.377210216,6,51,0.019 facilities/km distance (21%ile),39%ile,2.4 facilities/km distance (91%ile),2%ile,22%ile,11074.23916,6070368.532
North Carolina,NC,4,1216,-0.455058271,6,53,-24.38613024,4,31,-0.000779726,3,26,0.29156906,3,21,0.095238095,0.020555388,3,24,1.101543267,9,80,3.52E-05,6,55,0.102796053,2,18,0.577302632,9,82,0.021 facilities/km distance (24%ile),53%ile,1.1 facilities/km distance (80%ile),31%ile,26%ile,14907.84149,6890397.05
North Carolina,NC,4,1977,-6.320163133,4,33,-144.0612816,2,12,-0.00040323,3,27,0.29156906,3,21,0.121559633,0.020426163,3,24,0.465592298,7,65,1.30E-06,5,46,0.013151239,1,2,0.390344119,6,54,0.02 facilities/km distance (24%ile),33%ile,0.47 facilities/km distance (65%ile),12%ile,27%ile,13525.213,9901747.796
North Carolina,NC,4,466,-0.093543732,6,54,-1.402138462,6,52,-0.000323516,3,27,0.29156906,3,21,0.209876543,0.010455485,1,2,0.156718553,5,47,3.62E-05,6,55,0,1,1,0.678111588,10,91,0.01 facilities/km distance (2%ile),54%ile,0.16 facilities/km distance (47%ile),52%ile,27%ile,12400.6003,7810273.03
